"Category","Board_or_use","Designators","Item","Orderable_part_or_target","Required_for_5_units","Supplier_checked","Source_url","MOQ_or_pack_basis","Buy_qty","Estimated_unit_usd","Estimated_line_usd","Status","Notes"
"PCB","Board A","PCB-A","Bare main controller PCB","Self-Watering_Flower_Pot_Board_A_fab.zip","5 boards","JLCPCB","https://jlcpcb.com/?from=getquote","Prototype tier advertised from 5 pcs; cart quote required","5","0.40","2.00","CART_QUOTE","Estimate excludes PCB shipping, color/upcharge, taxes, and tariffs."
"PCB","Board B","PCB-B","Bare UI daughterboard PCB","Self-Watering_UI_Board_B_fab.zip","5 boards","JLCPCB","https://jlcpcb.com/?from=getquote","Prototype tier advertised from 5 pcs; cart quote required","5","0.40","2.00","CART_QUOTE","Estimate excludes PCB shipping, color/upcharge, taxes, and tariffs."
"Board A","Main controller","U1","ESP32-S3 module","Espressif ESP32-S3-WROOM-1-N8","5","DigiKey","https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8/15200089","MOQ 1 cut tape; qty 5 uses single-unit tier","5","5.66","28.30","OK","Native USB programming and UART fallback both depend on this exact ESP32-S3 module family."
"Board A","3.3 V buck","U2","3.3 V buck regulator","Diodes Inc AP63203WU-7","5","DigiKey","https://www.digikey.com/en/products/detail/diodes-incorporated/AP63203WU-7/9858426","MOQ 1 cut tape; qty 5 uses single-unit tier","5","0.80","4.00","OK","Fixed 3.3 V output part."
"Board A","USB input","J1","USB-C receptacle","GCT USB4105-GF-A","5","DigiKey","https://www.digikey.com/en/products/detail/gct/USB4105-GF-A/11198441","MOQ 1 cut tape; qty 5 uses single-unit tier","5","0.80","4.00","OK","Matches the selected USB4105 16-pin top-mount footprint family."
"Board A","Buck power stage","L1","3.9 uH shielded inductor","Abracon ASPI-0628-3R9M-T1","5","DigiKey","https://www.digikey.com/en/products/detail/abracon-llc/ASPI-0628-3R9M-T1/5043506","MOQ 1 cut tape; qty 5 uses single-unit tier","5","0.35","1.75","VERIFY_FOOTPRINT","Electrical target is good; physically verify against Inductor_SMD:L_Bourns_SRN6045TA before checkout."
"Board A","Pump driver","Q1","N-channel MOSFET","AOS AO3400A","5","LCSC","https://www.lcsc.com/product-detail/MOSFET_Alpha-Omega-Semicon-AO3400A_C20917.html","Minimum 5, multiple 5","5","0.0798","0.40","OK","Verify SOT-23 pinout during assembly."
"Board A","Pump driver","D1","Flyback diode","Vishay SS34-E3/57T or SMA SS34 equivalent","5","DigiKey","https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/SS34-E3-57T/1091554","MOQ 1 cut tape; qty 5 uses single-unit tier","5","1.02","5.10","OK","SMA footprint and polarity marking must match."
"Board A","JST board headers","J2,J4","2-pin JST-XH vertical headers","JST B2B-XH-A-E(LF)(SN) or exact-footprint stocked equivalent","10","Mouser/DigiPart","https://www.digipart.com/part/B2B-XH-A-E%28LF%29%28SN%29","Qty 10 price tier","10","0.123","1.23","OK_EQUIV","Use top-entry 2.50 mm JST-XH header with same footprint and pin-1 orientation."
"Board A","JST board headers","J3,J5","3-pin JST-XH vertical headers","JST B3B-XH-A-BK(LF)(SN) or exact-footprint stocked equivalent","10","Mouser","https://www.mouser.com/ProductDetail/JST-Commercial/B3B-XH-A-BKLFSN?qs=cIziFXvMxOXokbO08f3UqA%3D%3D","Qty 10 price tier","10","0.165","1.65","OK_EQUIV","Black stocked variant appears cost-effective; verify it is mechanically equivalent to the footprint."
"Board A","JST board headers","J6","9-pin JST-XH vertical UI header","JST B9B-XH-A(LF)(SN)","5","TrustedParts/Mouser","https://www.trustedparts.com/en/part/jst/B9B-XH-A%28LF%29%28SN%29","MOQ 1; qty 5 uses single-unit tier","5","0.28","1.40","OK","Must mate with Board B cable."
"Board B","JST board headers","J1","9-pin JST-XH right-angle UI header","JST S9B-XH-A(LF)(SN)","5","Newark","https://www.newark.com/jst-japan-solderless-terminals/s9b-xh-a-lf-sn/wire-to-board-connector-right/dp/74M4834","Minimum 10, multiple 10","10","0.299","2.99","MOQ_OVERBUY","Buying 10 is the minimum at Newark; only 5 are installed."
"Cables","Pump and reservoir cables","J2,J4 mating","2-pin JST-XH housings","JST XHP-2","10","Mouser","https://www.mouser.com/ProductDetail/JST-Commercial/XHP-2?qs=QpmGXVUTftGT4osVcj8ZRw%3D%3D","Qty 10 price tier","10","0.059","0.59","OK","One pump housing and one reservoir housing per unit."
"Cables","Moisture sensor cables","J3 mating","3-pin JST-XH housings","JST XHP-3","5","Mouser","https://www.mouser.com/ProductDetail/JST-Commercial/XHP-3?qs=QpmGXVUTftE%252BdE9WcWZI0w%3D%3D","MOQ 1; qty 5 uses single-unit tier","5","0.10","0.50","OK","Minimum build excludes optional flow cable housing."
