"Include_in_electronics_total","Category","Designators","Item","Orderable_part_or_target","Required_for_5_units","MOQ_or_pack_basis","Buy_qty","Estimated_line_usd","Status","Notes"
"YES","PCB","PCB-A","Bare main controller PCB","Self-Watering_Flower_Pot_Board_A_cost_down_fab.zip","5 boards","Prototype PCB fab minimum usually 5 boards","5","2.00","CART_QUOTE","Estimate excludes PCB shipping, color/upcharge, taxes, and tariffs."
"YES","Board A","U1","ESP32-S3 module","Espressif ESP32-S3-WROOM-1-N8","5","MOQ 1 cut tape","5","28.30","OK","Same controller as the two-board design; supports USB-C native programming."
"YES","Board A","U2","3.3 V buck regulator","Diodes Inc AP63203WU-7","5","MOQ 1 cut tape","5","4.00","OK","Fixed 3.3 V output part."
"YES","Board A","J1","USB-C receptacle","GCT USB4105-GF-A","5","MOQ 1 cut tape","5","4.00","OK","Matches the selected USB4105 16-pin top-mount footprint family."
"YES","Board A","L1","3.9 uH shielded inductor","Abracon ASPI-0628-3R9M-T1 candidate","5","MOQ 1 cut tape","5","1.75","VERIFY_FOOTPRINT","Physically verify against Inductor_SMD:L_Bourns_SRN6045TA before checkout."
"YES","Board A","Q1","N-channel pump MOSFET","AOS AO3400A","5","Minimum 5, multiple 5","5","0.40","OK","Logic-level SOT-23 low-side pump switch."
"YES","Board A","D1","Pump flyback diode","BORN SS34 or SMA SS34 equivalent","5","LCSC minimum 20","20","1.07","OK_EQUIV","SMA/DO-214AC footprint; observe polarity."
"YES","Board A","J2","2-pin JST-XH vertical pump header","JST B2B-XH-A-E(LF)(SN) or exact-footprint stocked equivalent","5","Qty 10 price tier assumed","10","1.23","OK_EQUIV","Only pump connector is required; extra headers are spares."
"YES","Board A","J3","3-pin JST-XH vertical moisture header","JST B3B-XH-A-BK(LF)(SN) or exact-footprint stocked equivalent","5","Qty 10 price tier assumed","10","1.65","OK_EQUIV","Only moisture connector is required; extra headers are spares."
"YES","Cables","J2 mating","2-pin JST-XH housings","JST XHP-2","5","Qty 10 price tier assumed","10","0.59","OK","Pump cable housings plus spares."
"YES","Cables","J3 mating","3-pin JST-XH housings","JST XHP-3","5","MOQ 1, buy 5 minimum","5","0.50","OK","Moisture sensor cable housings."
"YES","Cables","JST contacts","JST-XH crimp contacts","JST SXH-001T-P0.6","25 minimum contacts","Buy 100 because hand crimping wastes contacts","100","4.20","MINIMUM","Covers pump and moisture cables with useful spares."
"YES","Board A","J7","Debug header","Generic 2.54 mm single-row breakaway header","30 pins","Two 40-pin strips assumed","2 strips","1.50","OK","Covers five 1x6 debug headers."
"YES","Board A","D2,D3","0805 red and green LEDs","Lite-On 0805 LED equivalents","5 red plus 5 green","MOQ varies, buy 10 total","10","1.30","OK","Board A local error and status indicators."
"YES","Board A","R11,R12","330 ohm 0805 LED resistors","Yageo RC0805FR-07330RL or equivalent","10","Qty 10 estimate","10","0.34","OK","Board A LED current limiting."
"YES","Board A","R1,R2","5.1k 0805 USB-C CC resistors","Yageo RC0805FR-075K1L or equivalent","10","Qty 10 estimate","10","0.34","OK","USB-C sink CC resistors."
"YES","Board A","R3","10k 0805 EN pullup","Yageo RC0805FR-0710KL or equivalent","5","Qty 25 estimate","25","0.64","OK","Extra 10k resistors become useful spares."
"YES","Board A","R4","220 ohm 0805 pump gate resistor","Yageo RC0805FR-07220RL or equivalent","5","MOQ 1 estimate","5","0.50","OK","Gate series resistor."
"YES","Board A","R5","100k 0805 pump gate pulldown","Yageo RC0805FR-07100KL or equivalent","5","MOQ 1 estimate","5","0.50","OK","Keeps pump gate off during reset/boot."
"YES","Board A","R10","1k 0805 moisture ADC series resistor","Yageo RC0805FR-071KL or equivalent","5","MOQ 1 estimate","5","0.50","OK","Moisture ADC protection/series resistor."
"YES","Board A","C1","10 uF 10 V X7R 0805 input capacitor","10 uF 10 V X7R 0805 MLCC equivalent","5","MOQ 1 estimate","5","1.60","OK","Use at least 10 V rating."
"YES","Board A","C2,C5","22 uF 6.3 V X5R 0805 output capacitors","Murata GRM21BR60J226ME39L or equivalent","10","Qty 10 estimate","10","1.90","OK","Two output capacitors per Board A."
"YES","Board A","C3","100 nF 0805 bootstrap capacitor","100 nF 0805 MLCC equivalent","5","MOQ 1 estimate","5","0.50","OK","C4 remains DNP optional ADC filter and is not included."
"YES","Board A","C6","100 uF 10 V pump rail bulk capacitor","100 uF 10 V radial electrolytic, 6.3 mm body, 2.50 mm pitch","5","MOQ 1 estimate","5","3.25","OK","Observe polarity."
"YES","System","Pump","3 V to 5 V mini submersible pump","Gikfun DC 3 V-5 V micro submersible pump pack of 4","5 pumps","Sold as 4-pack","2 packs","23.96","PACK_OVERBUY","Buying two packs gives 8 pumps for 5 systems."
"YES","System","Moisture sensor","Generic capacitive soil moisture sensor","Generic capacitive soil moisture sensor V1.2 or equivalent","5","Marketplace five-pack estimate","5","4.25","VERIFY_PIN_ORDER","Cable must adapt to actual module pin order; confirm 3.3 V operation and output range."
"NO","Deferred UI","Board B, OLED, EC11, UI cable","Board B UI system","Deferred optional UI board","0","Not ordered for cost-down version","0","0.00","DEFERRED","Kept in repo, excluded from cost-down purchase."
"NO","Optional sensing","RESERVOIR_SW pads","Reservoir float switch","2-wire float switch selected after reservoir geometry is known","0","Optional only","0","0.00","OPTIONAL","Firmware default RESERVOIR_SENSOR_ENABLED=false."
"NO","Optional sensing","FLOW_PULSE pads","Flow sensor","3.3 V-safe pulse sensor or external level-shifted sensor","0","Optional only","0","0.00","OPTIONAL","Firmware default FLOW_SENSOR_ENABLED=false."
"NO","Support accessory","Power source","5 V >=2 A USB adapter or power bank","Low-cost 5 V / 2 A adapters","5 if deployed","Five adapters estimate","5","17.95","ACCESSORY","Not included in electronics-only total; required for deployed pump testing unless already available."
