"Board_or_system","Designators","Item","Footprint_or_interface","Locked purchasing target","Required_qty","Recommended_buy_qty","Checked_source","Source_url","MOQ_or_pack_estimate","Estimated_checkout_cost_usd","Status","Notes"
"Order","Board A PCB","Bare PCB for main controller","Current KiCad Board A outline and drills","Do not order until Board A DRC is clean","1 board","5 boards","PCB fab viewer after final Gerber export","","Manufacturer minimum usually 5 boards","TBD","BLOCKED","Board A still has 4 unconnected pads; no Gerbers or drills exported in this pass."
"Order","Board B PCB","Bare PCB for UI daughterboard","Current KiCad Board B outline and drills","Board B current Gerber and drill package","1 board","5 boards","PCB fab viewer after Gerber upload","","Manufacturer minimum usually 5 boards","TBD","OK_WAIT_FOR_A","Board B is clean, but wait for Board A so both boards and parts are ordered together."
"Board A","U1","ESP32-S3 module","RF_Module:ESP32-S3-WROOM-1","Espressif ESP32-S3-WROOM-1-N8","1","2","DigiKey","https://www.digikey.com/en/products/detail/espressif-systems/ESP32-S3-WROOM-1-N8/15200089","MOQ 1 cut tape","about 10-14 for 2","OK","DigiKey listing showed active part and thousands in stock during live check."
"Board A","U2","3.3 V buck regulator","Package_TO_SOT_SMD:TSOT-23-6","Diodes Inc AP63203WU-7","1","5","DigiKey","https://www.digikey.com/en/products/detail/diodes-incorporated/AP63203WU-7/9858426","MOQ 1 cut tape","about 3-4 for 5","OK","Fixed 3.3 V output version; keep datasheet layout rules around input cap, inductor, BST cap, and FB/GND pins."
"Board A","J1","USB-C receptacle","Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal","GCT USB4105-GF-A","1","3","DigiKey","https://www.digikey.com/en/products/detail/gct/USB4105-GF-A/11198441","MOQ 1 cut tape","about 2-3 for 3","OK","Matches the selected 16-pin top-mount USB-C footprint family; verify exact suffix before buying."
"Board A","L1","Buck inductor 3.9 uH","Inductor_SMD:L_Bourns_SRN6045TA","Abracon ASPI-0628-3R9M-T1 candidate","1","3","DigiKey","https://www.digikey.com/en/products/detail/abracon-llc/ASPI-0628-3R9M-T1/5043506","MOQ 1 cut tape","about 2 for 3","VERIFY_FOOTPRINT","Electrical value is suitable, but body/pad fit must be checked against the current Bourns SRN6045TA footprint before purchase."
"Board A","Q1","Pump low-side MOSFET","Package_TO_SOT_SMD:SOT-23","Alpha and Omega AO3400A","1","10","LCSC","https://www.lcsc.com/product-detail/MOSFET_Alpha-Omega-Semicon-AO3400A_C20917.html","MOQ 5, buy multiples of 5","about 1 for 10 before shipping","OK","Logic-level N-MOSFET for 3.3 V gate drive; verify SOT-23 pinout G/S/D against KiCad footprint before assembly."
"Board A","D1","Pump flyback diode","Diode_SMD:D_SMA","Vishay SS34-E3/57T","1","5","DigiKey","https://www.digikey.com/en/products/detail/vishay-general-semiconductor-diodes-division/SS34-E3-57T/1091554","MOQ 1 cut tape","about 3-4 for 5","OK","SMA/DO-214AC style Schottky; observe polarity mark during assembly."
"Board A","J2,J4","2-pin JST XH vertical headers","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","JST B2B-XH-A(LF)(SN) or stocked exact-footprint equivalent","2","4","Mouser","https://www.mouser.com/ProductDetail/JST-Commercial/B2B-XH-ALFSN?qs=cdbOS8ANM9DdcSn9qRmfCw%3D%3D","MOQ 1 but Mouser US showed 0 stock","about 1 if stocked","SOURCE_ALTERNATE","Mouser US showed 0 stock with incoming dates; find a stocked authorized equivalent or wait before buying."
"Board A","J3,J5","3-pin JST XH vertical headers","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","JST B3B-XH-A(LF)(SN) or stocked exact-footprint equivalent","2","4","Mouser/Rapid","https://www.mouser.com/ProductDetail/JST-Commercial/B3B-XH-ALFSN?qs=cdbOS8ANM9BVkoboCCIEMQ%3D%3D","MOQ 1","about 1","OK_OR_ALTERNATE","Use same pitch/orientation; Rapid showed stocked 3-pin JST if Mouser stock is poor."
